drug1_id,drug2_id,drug1_name,drug2_name,cell_line,bliss,gamma,source
DRMCATBEKSVAPL-UHFFFAOYSA-N,LXZZYRPGZAFOLE-UHFFFAOYSA-L,Oxaliplatin,Cisplatin,PL4,3.0083368,,GDSC
LXZZYRPGZAFOLE-UHFFFAOYSA-L,UWKQSNNFCGGAFS-UHFFFAOYSA-N,Cisplatin,Irinotecan,PL4,-1.6855812,,GDSC
LXZZYRPGZAFOLE-UHFFFAOYSA-L,ZBNZXTGUTAYRHI-UHFFFAOYSA-N,Cisplatin,Dasatinib,PL4,-0.036955543,,GDSC
LXZZYRPGZAFOLE-UHFFFAOYSA-L,PKCDDUHJAFVJJB-UHFFFAOYSA-N,Cisplatin,Linsitinib,PL4,-1.1149122,,GDSC
LXZZYRPGZAFOLE-UHFFFAOYSA-L,ULDXWLCXEDXJGE-UHFFFAOYSA-N,Cisplatin,MK-2206,PL4,0.60658693,,GDSC
KTEIFNKAUNYNJU-UHFFFAOYSA-N,LXZZYRPGZAFOLE-UHFFFAOYSA-L,Crizotinib,Cisplatin,PL4,-0.2373769,,GDSC
BKWJAKQVGHWELA-UHFFFAOYSA-N,LXZZYRPGZAFOLE-UHFFFAOYSA-L,MK-1775,Cisplatin,PL4,3.1104057,,GDSC
BEUQXVWXFDOSAQ-UHFFFAOYSA-N,LXZZYRPGZAFOLE-UHFFFAOYSA-L,Taselisib,Cisplatin,PL4,-0.2968847,,GDSC
LXZZYRPGZAFOLE-UHFFFAOYSA-L,RCINICONZNJXQF-UHFFFAOYSA-N,Cisplatin,Paclitaxel,PL4,1.219872,,GDSC
LXZZYRPGZAFOLE-UHFFFAOYSA-L,MLDQJTXFUGDVEO-UHFFFAOYSA-N,Cisplatin,Sorafenib,PL4,0.5538771,,GDSC
GHASVSINZRGABV-UHFFFAOYSA-N,LXZZYRPGZAFOLE-UHFFFAOYSA-L,5-Fluorouracil,Cisplatin,PL4,-0.6670195,,GDSC
AHJRHEGDXFFMBM-UHFFFAOYSA-N,LXZZYRPGZAFOLE-UHFFFAOYSA-L,Palbociclib,Cisplatin,PL4,-1.2483371,,GDSC
BKWJAKQVGHWELA-UHFFFAOYSA-N,LXZZYRPGZAFOLE-UHFFFAOYSA-L,MK-1775,Cisplatin,PL4,1.3635288,,GDSC
HDAJDNHIBCDLQF-UHFFFAOYSA-N,LXZZYRPGZAFOLE-UHFFFAOYSA-L,SCH772984,Cisplatin,PL4,-0.3311956,,GDSC
IAYGCINLNONXHY-UHFFFAOYSA-N,JLYAXFNOILIKPP-UHFFFAOYSA-N,AZD7762,Navitoclax,PL4,-0.056796886,,GDSC
JOGKUKXHTYWRGZ-UHFFFAOYSA-N,LXZZYRPGZAFOLE-UHFFFAOYSA-L,Dactolisib,Cisplatin,PL4,1.7390605,,GDSC
LXZZYRPGZAFOLE-UHFFFAOYSA-L,XXYGTCZJJLTAGH-UHFFFAOYSA-N,Cisplatin,LGK974,PL4,0.27757257,,GDSC
HFNKQEVNSGCOJV-UHFFFAOYSA-N,LXZZYRPGZAFOLE-UHFFFAOYSA-L,Ruxolitinib,Cisplatin,PL4,-0.30160338,,GDSC
AAKJLRGGTJKAMG-UHFFFAOYSA-N,LXZZYRPGZAFOLE-UHFFFAOYSA-L,Erlotinib,Cisplatin,PL4,-0.404202,,GDSC
KTEIFNKAUNYNJU-UHFFFAOYSA-N,LXZZYRPGZAFOLE-UHFFFAOYSA-L,Crizotinib,Cisplatin,PL4,-2.4672787,,GDSC
JOGKUKXHTYWRGZ-UHFFFAOYSA-N,LXZZYRPGZAFOLE-UHFFFAOYSA-L,Dactolisib,Cisplatin,PL4,0.76960474,,GDSC
LXZZYRPGZAFOLE-UHFFFAOYSA-L,XXYGTCZJJLTAGH-UHFFFAOYSA-N,Cisplatin,LGK974,PL4,0.18025228,,GDSC
LXZZYRPGZAFOLE-UHFFFAOYSA-L,SDUQYLNIPVEERB-UHFFFAOYSA-N,Cisplatin,Gemcitabine,PL4,-0.29668584,,GDSC
LXZZYRPGZAFOLE-UHFFFAOYSA-L,MLDQJTXFUGDVEO-UHFFFAOYSA-N,Cisplatin,Sorafenib,PL4,-0.74117947,,GDSC
LIRYPHYGHXZJBZ-UHFFFAOYSA-N,LXZZYRPGZAFOLE-UHFFFAOYSA-L,Trametinib,Cisplatin,PL4,0.32945547,,GDSC
JLYAXFNOILIKPP-UHFFFAOYSA-N,LXZZYRPGZAFOLE-UHFFFAOYSA-L,Navitoclax,Cisplatin,PL4,4.210444,,GDSC
LXZZYRPGZAFOLE-UHFFFAOYSA-L,SDUQYLNIPVEERB-UHFFFAOYSA-N,Cisplatin,Gemcitabine,PL4,2.3065503,,GDSC
